"node1","node2"
"A10014-0","A11813-0"
"A10014-0","A18443-0"
"A10014-0","A27664-0"
"A10014-0","A41419-0"
"A10014-0","A51360-6"
"A10014-0","A6487-1"
"A10014-0","A9661-1"
"A10031","A12749-0"
"A10031","A15939"
"A10031","A18874-1"
"A10031","A20701-0"
"A10031","A25811"
"A10031","A32399-0"
"A10118-1","A22366-0"
"A10118-1","A28258-6"
"A10118-1","A36602-0"
"A10118-1","A39995-0"
"A10118-1","A49688-25"
"A10118-1","A50943-13"
"A10138-2-1","A11259"
"A10138-2-1","A23690"
"A10138-2-1","A26298"
"A10138-2-1","A277"
"A10138-2-1","A28821-0"
"A10138-2-1","A7232-0"
"A10140","A13003-0"
"A10140","A22180-0"
"A10140","A46240-0"
"A10140","A52031-0"
"A10183-0","A25640-0"
"A10183-0","A27922-0"
"A10183-0","A43982-0"
"A10183-0","A44546-0"
"A10183-0","A47394-0"
"A10193-1","A27865-0"
"A10193-1","A40158-0"
"A10193-1","A46618-0"
"A10193-1","A51070-0"
"A10226-3","A27025-0-0"
"A10226-3","A27450-43"
"A10226-3","A49668-17"
"A10226-3","A51380-0"
"A10229-0","A11698-0"
"A10229-0","A14164-0"
"A10229-0","A35487-0"
"A10229-0","A37978-0"
"A10229-0","A41492-0"
"A10229-0","A51085-0"
"A10338","A17714"
"A10338","A41352"
"A10338","A47330-2"
"A10338","A50063-0"
"A1040-1","A13221-0"
"A1040-1","A17905-0"
"A1040-1","A48486-0"
"A1040-1","A49729"
"A1040-1","A6799-0"
"A10418-0","A28328-0"
"A10418-0","A32351-0"
"A10418-0","A40980-0"
"A10418-0","A39782-0"
"A10418-1","A12586-0"
"A10418-1","A2175-0"
"A10418-1","A39001-0"
"A10418-1","A44671-0"
"A10515","A26560-1"
"A10515","A4303-0"
"A10515","A48293-0"
"A10515","A7232-0"
"A10643-0","A20663-3"
"A10643-0","A25208-0"
"A10643-0","A27027-0-4"
"A10643-0","A27464-1"
"A10643-0","A30282-0"
"A10643-0","A31101-2"
"A10643-0","A42659"
"A10643-0","A45223-0"
"A10643-0","A45267-0"
"A10643-0","A50962-2"
"A10643-0","A52216"
"A10643-0","A52345-0-3"
"A10643-0","A52554-0"
"A10643-0","A8016-17"
"A10643-0","A8468-0"
"A10643-0","A9549-2"
"A10869-0","A13633-1"
"A10869-0","A18422-0"
"A10869-0","A22107-0"
"A10869-0","A32246-0"
"A10869-0","A45894-3"
"A10869-0","A52356-0-1"
"A10869-0","A7232-0"
"A10869-0","A7759-0"
"A11171-0","A13940"
"A11171-0","A23601"
"A11171-0","A41765-0"
"A11171-0","A4186"
"A11171-0","A49268-0"
"A11171-0","A50814-1"
"A11171-0","A5410-0"
"A11171-0","A5930-0"
"A11171-1","A18438-0"
"A11171-1","A24157-0"
"A11171-1","A4702"
"A11171-1","A49268-0"
"A11207-1","A39471-0"
"A11207-1","A47637-1"
"A11207-1","A49763-0"
"A11207-1","A6644"
"A11231-0","A21046-0"
"A11231-0","A22796"
"A11231-0","A2800-2"
"A11231-0","A38293-1"
"A11231-0","A4420-0"
"A11231-0","A8009-8"
"A11259","A23690"
"A11259","A26298"
"A11259","A277"
"A11259","A28821-0"
"A11259","A7232-0"
"A11263","A21257-0"
"A11263","A25970"
"A11263","A35532-0"
"A11263","A4397-1"
"A11263","A5576"
"A11343-1","A21046-0"
"A11343-1","A22062-0"
"A11343-1","A23334-1"
"A11343-1","A28261-6"
"A11343-1","A52163-1"
"A11466-0","A17765-0"
"A11466-0","A18841-1"
"A11466-0","A35016"
"A11466-0","A52241-5"
"A11466-0","A9399-0"
"A11466-0","A44456-1"
"A11550-0-1","A20855-0"
"A11550-0-1","A27460-33"
"A11550-0-1","A34125-0"
"A11550-0-1","A47382-0"
"A11698-0","A14164-0"
"A11698-0","A35487-0"
"A11698-0","A37978-0"
"A11698-0","A41492-0"
"A11698-0","A51085-0"
"A11789","A2488"
"A11789","A33643"
"A11789","A40950-0"
"A11789","A42051-0"
"A11813-0","A18987-0"
"A11813-0","A35449-0"
"A11813-0","A9399-0"
"A11883-0","A18079-0"
"A11883-0","A22308-1"
"A11883-0","A33378"
"A11883-0","A43703-17"
"A11883-0","A44548-0"
"A11939-0","A30017"
"A11939-0","A35589-1"
"A11939-0","A43446-0"
"A11939-0","A45119-0"
"A11939-0","A50017-0"
"A12008-0","A13753-0"
"A12008-0","A1409-0"
"A12008-0","A19991-0"
"A12008-0","A43680-0"
"A12008-0","A50240-0"
"A12083-0","A17638-1"
"A12083-0","A25443"
"A12083-0","A28821-0"
"A12083-0","A30050"
"A12083-0","A40214-0"
"A12083-0","A44972"
"A12083-0","A4656-0"
"A12083-0","A7639-1"
"A12209-0-1","A16841"
"A12209-0-1","A22412"
"A12209-0-1","A26602"
"A12209-0-1","A30018-0"
"A12209-0-1","A32046-1"
"A12209-0-1","A4458"
"A12209-1","A29865"
"A12209-1","A42682"
"A12209-1","A49687-7"
"A12209-1","A52163-1"
"A12209-1","A8004-11"
"A12247-0","A12249-0"
"A12247-0","A30932-0"
"A12247-0","A37823"
"A12247-0","A44854-0"
"A12247-0","A50090"
"A12249-0","A30932-0"
"A12249-0","A37823"
"A12249-0","A44854-0"
"A12249-0","A50090"
"A12375","A2104"
"A12375","A25790-0"
"A12375","A29681"
"A12375","A35449-0"
"A12375","A40809-0"
"A12402-0","A16477"
"A12402-0","A1903-0"
"A12402-0","A19601-0"
"A12402-0","A26499-1-0"
"A12402-0","A2752"
"A12402-0","A2762"
"A12402-0","A27955-0"
"A12402-0","A35173"
"A12402-0","A35608-0"
"A12402-0","A36602-0"
"A12402-0","A38645-0"
"A12402-0","A41112-1"
"A12402-0","A4455-6"
"A12402-0","A50853-0"
"A12402-0","A51871-0"
"A12402-0","A52370-0-2"
"A12402-0","A7118"
"A12402-0","A43166-0"
"A12402-0","A44936"
"A12402-0","A50218-0"
"A12402-0","A8009-24"
"A12451","A18527"
"A12451","A28136"
"A12451","A35485"
"A12451","A46546-5"
"A12451","A6091-0"
"A12451","A9157"
"A12559","A3548"
"A12559","A38646-0"
"A12559","A51825-0"
"A12559","A52486-0"
"A12559","A6716-0"
"A12559","A9399-0"
"A12586-0","A2175-0"
"A12586-0","A39001-0"
"A12586-0","A44671-0"
"A12712-0","A18987-0"
"A12712-0","A22238-0"
"A12712-0","A24819-0"
"A12712-0","A46646-0"
"A12749-0","A15939"
"A12749-0","A18874-1"
"A12749-0","A20701-0"
"A12749-0","A25811"
"A12749-0","A32399-0"
"A1285","A16317-0"
"A1285","A17425-0"
"A1285","A22667-0"
"A1285","A33061-0"
"A1285","A33751-0"
"A1285","A4469-0"
"A13003-0","A22180-0"
"A13003-0","A27426-0"
"A13003-0","A37978-0"
"A13003-0","A46240-0"
"A13003-0","A52031-0"
"A13221-0","A17905-0"
"A13221-0","A48486-0"
"A13221-0","A49729"
"A13221-0","A6799-0"
"A13263-0","A17935"
"A13263-0","A22211-1"
"A13263-0","A27017-14"
"A13263-0","A38942"
"A13417-1","A20648-0-0"
"A13417-1","A28763"
"A13417-1","A49678-0-1"
"A13417-1","A49682-0-2"
"A13417-1","A6289"
"A13530-1","A16172-0"
"A13530-1","A253-0"
"A13530-1","A31620-0"
"A13530-1","A369-0"
"A13530-1","A6699-1"
"A13530-1","A6970"
"A13610","A26254-2"
"A13610","A40381-1"
"A13610","A47708-0"
"A13610","A50121-0"
"A13610","A52639-1"
"A13633-1","A13643-2"
"A13633-1","A13976-2"
"A13633-1","A18010-0"
"A13633-1","A18422-0"
"A13633-1","A18683"
"A13633-1","A22056-1"
"A13633-1","A22107-0"
"A13633-1","A25716"
"A13633-1","A27022-1"
"A13633-1","A27450-18"
"A13633-1","A27912-18"
"A13633-1","A3449-0"
"A13633-1","A35953-1"
"A13633-1","A42592-2"
"A13633-1","A45269-14"
"A13633-1","A49668-38"
"A13633-1","A50962-2"
"A13633-1","A51359-22"
"A13633-1","A51386-1"
"A13633-1","A52253-0"
"A13633-1","A52253-20"
"A13633-1","A52345-0-0"
"A13633-1","A52356-0-1"
"A13633-1","A52358-0-4"
"A13633-1","A52370-0-2"
"A13633-1","A52556-0"
"A13633-1","A7232-0"
"A13633-1","A52384-11"
"A13633-1","A592-0"
"A13633-1","A6737-1"
"A13633-1","A8030-1-6"
"A13633-1","A8039-0"
"A13633-2","A26441-0"
"A13633-2","A26935-0"
"A13633-2","A33901-1"
"A13633-2","A45085-1"
"A13643-2","A22056-1"
"A13643-2","A22107-0"
"A13643-2","A27022-1"
"A13643-2","A45894-0"
"A13723","A17907-0"
"A13723","A21343"
"A13723","A30226"
"A13723","A38645-0"
"A13723","A50230"
"A13733","A16321"
"A13733","A19673-0"
"A13733","A22217-10"
"A13733","A23889-9"
"A13733","A45258-1-1"
"A13753-0","A1409-0"
"A13753-0","A19991-0"
"A13753-0","A43680-0"
"A13753-0","A50240-0"
"A13773","A26452"
"A13773","A2809-0"
"A13773","A39125-0"
"A13773","A43400-11"
"A13773","A49763-0"
"A13809-0","A20216-0"
"A13809-0","A2538-0"
"A13809-0","A38761-1"
"A13809-0","A49557-0"
"A13809-0","A47237-0"
"A1381-1","A21046-0"
"A1381-1","A27027-118"
"A1381-1","A27237-0"
"A1381-1","A36252-0"
"A1381-1","A39926"
"A1381-1","A42826-1"
"A1381-1","A52370-0-2"
"A1381-1","A52656"
"A1381-1","A52657"
"A13940","A41765-0"
"A13940","A4186"
"A13940","A5410-0"
"A13976-2","A18683"
"A13976-2","A22056-1"
"A13976-2","A52241-0"
"A13977-2","A15880-0"
"A13977-2","A27224-4-1"
"A13977-2","A42967"
"A13977-2","A51801-0"
"A13977-2","A52311-1"
"A1409-0","A19991-0"
"A1409-0","A43680-0"
"A1409-0","A50240-0"
"A14141","A24112-0"
"A14141","A24122-0"
"A14141","A27239-0"
"A14141","A49218"
"A14141","A49491-0"
"A14141","A52241-0"
"A14164-0","A20657-0-3"
"A14164-0","A25346-0"
"A14164-0","A35487-0"
"A14164-0","A37978-0"
"A14164-0","A41492-0"
"A14164-0","A46768-0"
"A14164-0","A51085-0"
"A14164-0","A52567-Unknow0"
"A14274-0","A24757-1"
"A14274-0","A27922-0"
"A14274-0","A43982-0"
"A14274-0","A51296-0"
"A14274-0","A52163-1"
"A14274-0","A52554-0"
"A14274-0","A6737-1"
"A14274-0","A47311-0"
"A14274-0","A6998-1"
"A14612","A19787-1"
"A14612","A28242-1"
"A14612","A30241-1"
"A14612","A30553"
"A14612","A36602-0"
"A14612","A48575"
"A14783-0","A27220-0-0"
"A14783-0","A33763-0"
"A14783-0","A45957-0"
"A14783-0","A5079-0"
"A14783-0","A52163-1"
"A14819-0","A39995-0"
"A14819-0","A40435-1"
"A14819-0","A44916"
"A14819-0","A48505-0"
"A14819-0","A49203"
"A14819-0","A6084-0"
"A15003-1","A18987-1"
"A15003-1","A43339-1"
"A15003-1","A4551-0"
"A15003-1","A46115-3-2"
"A15003-1","A46646-0"
"A15003-1","A46646-1"
"A15184-0","A26710-0"
"A15184-0","A27460-25"
"A15184-0","A38738"
"A15184-0","A42347-0"
"A15184-0","A45174-3"
"A15184-0","A45400-1"
"A15209-0","A16006-0"
"A15209-0","A18004-2"
"A15209-0","A19171-1-0"
"A15209-0","A27025-0-0"
"A15209-0","A52384-1"
"A15337-0","A2440"
"A15337-0","A35830-1"
"A15337-0","A3967"
"A15337-0","A41403"
"A15337-0","A6650"
"A15337-0","A7892-0"
"A15337-0","A8006-9-1"
"A15539","A28927-0"
"A15539","A40585-1"
"A15539","A42727-1"
"A15539","A52150"
"A15539","A52274-0"
"A15539","A6131-0"
"A15598-0","A27448-7"
"A15598-0","A35117-0"
"A15598-0","A3515-0"
"A15598-0","A35492"
"A15598-0","A35694-0"
"A15598-0","A40370-2"
"A15598-0","A4122-0"
"A15598-0","A49597-0"
"A15598-0","A6715-0"
"A15599-0","A17087-1"
"A15599-0","A40834-1"
"A15599-0","A48042-0"
"A15599-0","A51977-0"
"A15706-1","A28638-0"
"A15706-1","A32404"
"A15706-1","A44832-0"
"A15706-1","A7035-0"
"A15803-0","A19742-0"
"A15803-0","A25969"
"A15803-0","A40233-2"
"A15803-0","A44854-0"
"A15843","A18117"
"A15843","A28926-0"
"A15843","A4350-0"
"A15843","A49985"
"A15880-0","A27224-4-1"
"A15880-0","A42967"
"A15880-0","A51801-0"
"A15880-0","A52311-1"
"A15939","A18874-1"
"A15939","A20701-0"
"A15939","A25811"
"A15939","A32399-0"
"A15971-0","A19791-1"
"A15971-0","A25148"
"A15971-0","A27452-49"
"A15971-0","A38675-0"
"A15971-0","A45086-20"
"A16006-0","A18004-2"
"A16006-0","A27452-0-0"
"A16006-0","A52357-0-1"
"A16015-0","A23147-0"
"A16015-0","A39471-0"
"A16015-0","A46646-2"
"A16015-0","A49763-0"
"A16028-0","A16692-0"
"A16028-0","A18422-0"
"A16028-0","A26134"
"A16028-0","A28274-0-2"
"A16028-0","A28274-1"
"A16028-0","A47394-0"
"A16028-0","A50191"
"A16028-0","A876"
"A16040-0","A39374-0"
"A16040-0","A39739-0"
"A16040-0","A41205-0"
"A16040-0","A43227-0"
"A16040-0","A6131-0"
"A16105","A18420-0"
"A16105","A21437"
"A16105","A49570-2"
"A16105","A6629-0"
"A16172-0","A253-0"
"A16172-0","A31620-0"
"A16172-0","A369-0"
"A16172-0","A6699-1"
"A16172-0","A6970"
"A16266-0","A18422-0"
"A16266-0","A23872-1"
"A16266-0","A27380-0"
"A16266-0","A28666-0"
"A16266-0","A28821-0"
"A16266-0","A32302-0"
"A16266-0","A43434-0"
"A16266-0","A46350-1"
"A16266-0","A7232-0"
"A16266-0","A43430-1"
"A16266-0","A7644-1"
"A16317-0","A17425-0"
"A16317-0","A22667-0"
"A16317-0","A33061-0"
"A16317-0","A33751-0"
"A16317-0","A4469-0"
"A16321","A19673-0"
"A16321","A22217-10"
"A16321","A23889-9"
"A16321","A45258-1-1"
"A16374","A27043"
"A16374","A29203-0"
"A16374","A34558"
"A16374","A46933-0"
"A16374","A49687-Unknow7"
"A16374","A52163-1"
"A16374","A5917"
"A16376","A2122"
"A16376","A22414-1"
"A16376","A27426-0"
"A16376","A28764-0"
"A16376","A32968-1"
"A16441-2","A21046-1"
"A16441-2","A27027-Unknow6"
"A16441-2","A27237-Unknow2"
"A16441-2","A42723-Unknow0"
"A16441-2","A52370-0-2"
"A16477","A27955-0"
"A16477","A50853-0"
"A16477","A51871-0"
"A16477","A7118"
"A16477","A8009-24"
"A16692-0","A26134"
"A16692-0","A50191"
"A16692-0","A876"
"A16766-0","A46630-0"
"A16766-0","A48491-0"
"A16766-0","A49935-0"
"A16766-0","A6744-2"
"A16841","A22412"
"A16841","A26602"
"A16841","A30018-0"
"A16841","A32046-1"
"A16841","A4458"
"A16927","A30010"
"A16927","A32480-0"
"A16927","A46380-0"
"A16927","A51820-0-1"
"A16965-0","A22573-0"
"A16965-0","A37978-0"
"A16965-0","A41760-1"
"A16965-0","A8621-2"
"A17087-1","A40834-1"
"A17087-1","A48042-0"
"A17087-1","A51977-0"
"A17116-0","A20596-0"
"A17116-0","A23182-0"
"A17116-0","A35449-0"
"A17116-0","A37334-0"
"A17116-0","A52481"
"A17116-0","A52593-0"
"A17116-0","A5822-1"
"A17132","A21341-0"
"A17132","A24411-1"
"A17132","A26217-1"
"A17132","A31218"
"A17147","A19600-0"
"A17147","A1995"
"A17147","A32014-0"
"A17147","A40236-0"
"A17147","A9310-0"
"A1717-1","A19061-1"
"A1717-1","A27047-0-0"
"A1717-1","A40158-0"
"A1717-1","A46618-0"
"A17425-0","A22667-0"
"A17425-0","A33061-0"
"A17425-0","A33751-0"
"A17425-0","A4469-0"
"A17638-1","A25443"
"A17638-1","A28821-0"
"A17638-1","A30050"
"A17638-1","A40214-0"
"A17638-1","A44972"
"A17638-1","A4656-0"
"A17638-1","A7639-1"
"A17714","A41352"
"A17714","A47330-2"
"A17714","A50063-0"
"A17765-0","A18841-1"
"A17765-0","A20164-0"
"A17765-0","A20653-14"
"A17765-0","A28273-0-0"
"A17765-0","A32249-1"
"A17765-0","A35016"
"A17765-0","A39171"
"A17765-0","A49428-0"
"A17765-0","A44456-1"
"A17765-0","A49681-6"
"A17905-0","A48486-0"
"A17905-0","A49729"
"A17905-0","A6799-0"
"A17905-1","A26622-2"
"A17905-1","A3378-0"
"A17905-1","A38645-0"
"A17905-1","A41934-2"
"A17905-1","A44760-0"
"A17905-1","A45267-10"
"A17905-1","A48486-0"
"A17905-1","A588-0"
"A17905-1","A6744-1"
"A17905-1","A6799-0"
"A17905-1","A9266"
"A17907-0","A21343"
"A17907-0","A30226"
"A17907-0","A38645-0"
"A17907-0","A50230"
"A17935","A22211-1"
"A17935","A27017-14"
"A17935","A38942"
"A17949-0","A22025-1"
"A17949-0","A32253-0"
"A17949-0","A51168-1"
"A17949-0","A51820-0-0"
"A18004-2","A22121-0"
"A18004-2","A27023-43"
"A18004-2","A27464-1"
"A18004-2","A47354-0"
"A18004-2","A51184-2"
"A18004-2","A8006-6"
"A18010-0","A18683"
"A18010-0","A45258-0-3"
"A18010-0","A49674-0-3"
"A18010-0","A51607-0"
"A18010-0","A8007-0-1"
"A18012-1","A18420-0"
"A18012-1","A22108-3"
"A18012-1","A24934-0"
"A18012-1","A51131-1"
"A18012-1","A51157-2"
"A18012-1","A52373-0-0"
"A18012-1","A52373-0-1"
"A18079-0","A22308-1"
"A18079-0","A33378"
"A18079-0","A43703-17"
"A18079-0","A44548-0"
"A18117","A28926-0"
"A18117","A4350-0"
"A18117","A49985"
"A18176","A24970"
"A18176","A38675-0"
"A18176","A41367"
"A18176","A50385"
"A18261-0","A28887-1"
"A18261-0","A35409-0"
"A18261-0","A51349-1"
"A18261-0","A52373-0-0"
"A18415-1","A21046-0"
"A18415-1","A27027-118"
"A18415-1","A27237-0"
"A18415-1","A52370-0-2"
"A18415-1","A8020-Unknow1"
"A18420-0","A21437"
"A18420-0","A24934-0"
"A18420-0","A39733-0"
"A18420-0","A44798-0"
"A18420-0","A49570-2"
"A18420-0","A6629-0"
"A18422-0","A20387-0"
"A18422-0","A22107-0"
"A18422-0","A28274-0-2"
"A18422-0","A28666-0"
"A18422-0","A29388-0"
"A18422-0","A32246-0"
"A18422-0","A32347-0"
"A18422-0","A34498-0"
"A18422-0","A35409-0"
"A18422-0","A35956-0"
"A18422-0","A45894-3"
"A18422-0","A46759-0"
"A18422-0","A48293-0"
"A18422-0","A49674-0-3"
"A18422-0","A51046-0"
"A18422-0","A51377-0"
"A18422-0","A51386-1"
"A18422-0","A6744-1"
"A18422-0","A7232-0"
"A18422-0","A8598-0"
"A18422-0","A7759-0"
"A18422-0","A52357-0-1"
"A18422-0","A8039-0"
"A18438-0","A24157-0"
"A18438-0","A4702"
"A18438-0","A49268-0"
"A18443-0","A27664-0"
"A18443-0","A39739-0"
"A18443-0","A43662-0"
"A18443-0","A51360-6"
"A18443-0","A6487-1"
"A18443-0","A9661-1"
"A18527","A28136"
"A18527","A35485"
"A18527","A46546-5"
"A18527","A6091-0"
"A18527","A9157"
"A18560-0","A25723-2"
"A18560-0","A27450-18"
"A18560-0","A49763-0"
"A18560-0","A51813-0-0"
"A18560-0","A6716-0"
"A18683","A52241-0"
"A18738-0","A27354-0"
"A18738-0","A35409-0"
"A18738-0","A51187-0"
"A18738-0","A51349-1"
"A18738-0","A8015-2"
"A18828-0","A21271-0"
"A18828-0","A25103"
"A18828-0","A38729"
"A18828-0","A52249-Unknow0"
"A18841-1","A35016"
"A18841-1","A44456-1"
"A18843-0","A28274-0-2"
"A18843-0","A369-0"
"A18843-0","A7232-0"
"A18843-0","A8598-0"
"A18874-1","A20701-0"
"A18874-1","A25811"
"A18874-1","A32399-0"
"A18962","A21298"
"A18962","A2962-0"
"A18962","A46525-0"
"A18962","A50156-0"
"A18962","A8019-53"
"A18987-0","A22238-0"
"A18987-0","A35671-0"
"A18987-0","A46646-0"
"A18987-0","A52556-0"
"A18987-1","A43339-1"
"A18987-1","A4551-0"
"A18987-1","A46115-3-2"
"A18987-1","A46646-0"
"A18987-1","A46646-1"
"A1903-0","A26499-1-0"
"A1903-0","A2752"
"A1903-0","A44936"
"A19061-1","A27047-0-0"
"A19061-1","A40158-0"
"A19061-1","A46618-0"
"A19171-0-0","A19172-26"
"A19171-0-0","A27026-72"
"A19171-0-0","A27220-0-1"
"A19171-0-0","A52241-3-2"
"A19171-0-0","A52256-0-3"
"A19171-1-0","A28270-1"
"A19171-1-0","A49673-0"
"A19171-1-0","A49676-0-3"
"A19171-1-0","A52346-5"
"A19171-1-0","A52373-0-0"
"A19171-1-0","A52384-1"
"A19172-26","A27026-72"
"A19172-26","A27220-0-1"
"A19172-26","A52241-3-2"
"A19172-26","A52256-0-3"
"A19173-1","A23033-0"
"A19173-1","A26507-13"
"A19173-1","A32302-0"
"A19173-1","A39916"
"A19173-1","A43712-1"
"A19173-1","A52246-7"
"A19410-0","A25084"
"A19410-0","A26300-0"
"A19410-0","A50459-0"
"A19410-0","A5688-0"
"A19415","A29788"
"A19415","A30947-0"
"A19415","A50836-0"
"A19415","A52359-3"
"A19457","A27219-0-1"
"A19457","A32930"
"A19457","A3781"
"A19457","A4256-0"
"A19457","A4261-1"
"A19550-0","A31109-4"
"A19550-0","A34958"
"A19550-0","A36491"
"A19550-0","A39002-0"
"A19550-0","A39308-0"
"A19550-0","A39308-1"
"A19550-0","A45453-1"
"A19550-0","A51744-5"
"A19600-0","A1995"
"A19600-0","A32014-0"
"A19600-0","A40236-0"
"A19600-0","A9310-0"
"A19601-0","A21046-0"
"A19601-0","A22211-0"
"A19601-0","A27380-0"
"A19601-0","A2762"
"A19601-0","A35173"
"A19601-0","A4455-6"
"A19601-0","A8009-8"
"A19601-0","A43166-0"
"A19601-0","A50218-0"
"A19673-0","A22217-10"
"A19673-0","A23889-9"
"A19673-0","A45258-1-1"
"A19742-0","A25969"
"A19742-0","A40233-2"
"A19742-0","A40980-0"
"A19742-0","A44854-0"
"A19787-1","A28242-1"
"A19787-1","A30241-1"
"A19787-1","A30553"
"A19787-1","A36602-0"
"A19787-1","A48575"
"A19791-1","A25148"
"A19791-1","A27452-49"
"A19791-1","A45086-20"
"A19916","A22702-0"
"A19916","A24573-4"
"A19916","A32824-0"
"A19916","A41083-0"
"A1995","A32014-0"
"A1995","A40236-0"
"A1995","A9310-0"
"A19979-0","A40236-0"
"A19979-0","A5341-0"
"A19979-0","A7305-0"
"A19979-0","A9310-0"
